step,epoch,loss_jepa,loss_drift,loss_total,lr,grad_norm,throughput,val_loss
197,0,0.464278,0.000000,0.671692,7.52e-05,0.1778,0.04,
198,0,0.476251,0.000000,0.689693,7.49e-05,0.1311,0.04,
199,0,0.465498,0.000000,0.727279,7.46e-05,0.3644,0.04,
200,0,0.456883,0.000000,0.659350,7.42e-05,0.2471,0.04,
201,0,0.462930,0.000000,0.662101,7.39e-05,0.1661,0.04,
202,0,0.467985,0.000000,0.656238,7.36e-05,0.1743,0.04,
203,0,0.461021,0.000000,0.678335,7.33e-05,0.1517,0.04,
204,0,0.461149,0.000000,0.688046,7.29e-05,0.1805,0.04,
205,0,0.467004,0.000000,0.694253,7.26e-05,0.0970,0.04,
206,0,0.484255,0.000000,0.710830,7.23e-05,0.1131,0.04,
207,0,0.456667,0.000000,0.653558,7.20e-05,0.1721,0.04,
208,0,0.484536,0.000000,0.673696,7.16e-05,0.1394,0.04,
209,0,0.460086,0.000000,0.616979,7.13e-05,0.1699,0.04,
210,0,0.476365,0.000000,0.746339,7.10e-05,0.1533,0.04,
211,0,0.455887,0.000000,0.671516,7.06e-05,0.1715,0.04,
212,0,0.464861,0.000000,0.697582,7.03e-05,0.2568,0.04,
213,0,0.466292,0.000000,0.739479,6.99e-05,0.1536,0.04,
214,0,0.468267,0.000000,0.683758,6.96e-05,0.1971,0.04,
215,0,0.467408,0.000000,0.659444,6.93e-05,0.1722,0.04,
216,0,0.461413,0.000000,0.625054,6.89e-05,0.1018,0.04,
217,0,0.464622,0.000000,0.684477,6.86e-05,0.1162,0.04,
218,0,0.450873,0.000000,0.690773,6.82e-05,0.1309,0.04,
219,0,0.443915,0.000000,0.862400,6.79e-05,0.7527,0.05,
220,0,0.479176,0.000000,0.656767,6.75e-05,0.1321,0.04,
221,0,0.466557,0.000000,0.668186,6.72e-05,0.1476,0.04,
222,0,0.460409,0.000000,0.701023,6.68e-05,0.2824,0.04,
223,0,0.468783,0.000000,0.715923,6.65e-05,0.1178,0.04,
224,0,0.459764,0.000000,0.773255,6.62e-05,0.2879,0.04,
225,0,0.458363,0.000000,0.706971,6.58e-05,0.1572,0.04,
226,0,0.461360,0.000000,0.694621,6.55e-05,0.1321,0.04,
227,0,0.465709,0.000000,0.756674,6.51e-05,0.1965,0.04,
228,0,0.460682,0.000000,0.688785,6.47e-05,0.2492,0.04,
229,0,0.461249,0.000000,0.725138,6.44e-05,0.2333,0.04,
230,0,0.468039,0.000000,0.680485,6.40e-05,0.1812,0.04,
231,0,0.450436,0.000000,0.665784,6.37e-05,0.1370,0.04,
232,0,0.455289,0.000000,0.660364,6.33e-05,0.1569,0.04,
233,0,0.460415,0.000000,0.655767,6.30e-05,0.1287,0.04,
234,0,0.467581,0.000000,0.665913,6.26e-05,0.1742,0.04,
235,0,0.461572,0.000000,0.693002,6.23e-05,0.1943,0.04,
236,0,0.448744,0.000000,0.682451,6.19e-05,0.1510,0.04,
